neuron_id,degree,clust,page_rank,session,shuffle,neuron_type,in_ensemble
1640,0.08198545657913531,0.10485577496694731,0.021150513060013,hamilton_31,True,FF,True
1641,0.07099539919478683,0.08284515917204377,0.018718886939899673,hamilton_31,True,SIR,True
1642,0.05256016664817754,0.07301748430880767,0.014693590459778208,hamilton_31,True,SIR,True
1644,0.04976480522622344,0.07659301742127066,0.01394441073129314,hamilton_31,True,SIR,True
1645,0.08251054802839557,0.10398449212863818,0.021279906956947287,hamilton_31,True,SIR,True
1647,0.059616922487344355,0.08767798390399385,0.0162741874020964,hamilton_31,True,SR,True
1648,0.07980791754649852,0.09811164662027916,0.020631765603734347,hamilton_31,True,SIR,True
1649,0.0790880846038379,0.08339465250749267,0.020492456234336022,hamilton_31,True,SIR,True
1650,0.07078184258736216,0.07612605509769492,0.018617675600699976,hamilton_31,True,SIR,True
1651,0.06392989663532911,0.08047659201738926,0.01717038672550404,hamilton_31,True,SR,True
1655,0.08511895522653792,0.08510422007327793,0.022008364683964967,hamilton_31,True,SIR,True
1657,0.07039726554781336,0.08441227461854878,0.0186983672992699,hamilton_31,True,SR,True
1658,0.08957358228995363,0.10582680940367852,0.022829898632450114,hamilton_31,True,SR,True
1659,0.05735107804647498,0.07733523381835551,0.015734585670085916,hamilton_31,True,SIR,True
1660,0.08196901776890103,0.09000171889779696,0.021194640487763206,hamilton_31,True,FF,True
1661,0.07387623588343943,0.08530841826572994,0.019314165205053545,hamilton_31,True,SR,True
1663,0.07403011165009786,0.09705606988659525,0.019448622382024397,hamilton_31,True,SIR,True
1664,0.0945087963797305,0.11004575117925236,0.023868536934008252,hamilton_31,True,SIR,True
1666,0.08057359145339199,0.09103205409597406,0.020854957927374407,hamilton_31,True,SR,True
1667,0.05401260250878534,0.0852048813540744,0.014933494672013123,hamilton_31,True,SIR,True
1668,0.09579795088992842,0.10049606909060432,0.024196980466939834,hamilton_31,True,SR,True
1669,0.0479960482708157,0.07394351118128765,0.013638679514042304,hamilton_31,True,SIR,True
1670,0.09279539051885054,0.1037490165040034,0.023637183251089187,hamilton_31,True,SIR,True
1671,0.07432880348224423,0.08128353319008388,0.019666491167443057,hamilton_31,True,SIR,True
1675,0.08155479076169667,0.08667000460369187,0.021023408054159698,hamilton_31,True,SIR,True
1676,0.08916921590553564,0.100793719634305,0.022684437231890533,hamilton_31,True,SIR,True
1678,0.05449889350705305,0.08260589495196288,0.014973971363376096,hamilton_31,True,SIR,True
1679,0.10549266467176836,0.0966187964443615,0.02666113710050794,hamilton_31,True,SIR,True
1680,0.05827013929815554,0.07526012410431125,0.015840245552591177,hamilton_31,True,SR,True
1681,0.06477306866373744,0.08919921692682596,0.017372290306330217,hamilton_31,True,SIR,True
1682,0.06750828048993326,0.07693693359994218,0.017931186107140097,hamilton_31,True,SR,True
1683,0.0813927825804379,0.08790332068644342,0.021093914671104684,hamilton_31,True,SIR,True
1684,0.06912890034450786,0.0818354571392342,0.018406098411178327,hamilton_31,True,SIR,True
1685,0.05330989999983821,0.07053984123460151,0.014800392338323864,hamilton_31,True,SIR,True
1686,0.08085291622622945,0.0907178285413643,0.02095519055210738,hamilton_31,True,SIR,True
1687,0.06526950813746271,0.07629129549029688,0.01745552069000719,hamilton_31,True,SIR,True
1690,0.2027130551790142,0.11799274467055113,0.05080581834849461,hamilton_38,True,FF,True
1691,0.10832150762980983,0.08456777107888357,0.028982568603819158,hamilton_38,True,SIR,True
