neuron_id,waveform_width,peak_asymmetry,mean_firing_rate,cv2_isi,recording_session_id,cluster_id,channel,is_single_unit,session_name,group_name,experiment_name,cv2_burst,is_burster,median_burst
1856,59.0,0.21454545454545454,0.9775789626397379,0.4980687374702229,42,93,10,1,hamilton_35,acute_sal,HAMILTON,0.4905855455285756,False,0.026433333333329756
1857,24.0,0.09448818897637795,0.17888899344403847,1.0464082144162707,42,94,10,1,hamilton_35,acute_sal,HAMILTON,0.9457655392626336,True,0.029916666666679248
1858,51.0,0.17525773195876287,3.651310927535681,0.24798043913216758,42,98,12,1,hamilton_35,acute_sal,HAMILTON,0.19614913636688544,False,0.02533333333332166
1860,49.0,0.1781818181818182,0.8955424457075791,0.383484680605918,42,101,12,1,hamilton_35,acute_sal,HAMILTON,0.37830813945820346,False,0.023050000000012005
1861,13.0,0.05394190871369295,1.3948951574685453,0.7043121447540327,42,102,12,1,hamilton_35,acute_sal,HAMILTON,0.6844541846776812,False,0.04115000000001601
1864,14.0,0.05785123966942149,1.3109380531834598,0.5197426910446127,42,110,14,1,hamilton_35,acute_sal,HAMILTON,0.6323419141399224,True,0.024766666666664605
1865,56.0,0.2014388489208633,0.6184291276424275,0.5292092955221486,42,114,14,1,hamilton_35,acute_sal,HAMILTON,0.5243598636647272,False,0.02758333333335372
1866,18.0,0.07317073170731707,0.6812597710453183,0.4973941581614587,42,116,12,1,hamilton_35,acute_sal,HAMILTON,0.506278262047569,True,0.037566666666634774
1867,55.0,0.19855595667870035,1.5910694370889251,0.1986005084892826,42,117,14,1,hamilton_35,acute_sal,HAMILTON,0.1925946309081626,False,0.030849999999873035
1868,38.0,0.14960629921259844,0.5424287423908958,0.775488035665559,42,119,13,1,hamilton_35,acute_sal,HAMILTON,0.7555611693488256,False,0.027933333333342247
1869,54.0,0.19148936170212766,1.2788368074273977,0.31484733276304505,42,124,15,1,hamilton_35,acute_sal,HAMILTON,0.31484733276304505,False,
1871,36.0,0.13953488372093023,3.466934541654709,0.8825625471071131,42,127,14,1,hamilton_35,acute_sal,HAMILTON,0.498211939911289,True,0.023633333333350492
1872,125.0,0.5458515283842795,1.600672373853559,0.2884429709174878,42,128,14,1,hamilton_35,acute_sal,HAMILTON,0.28638501752899853,False,0.019766666666669153
1873,23.0,0.0954356846473029,0.5866022515082121,0.7849749640477776,42,129,16,1,hamilton_35,acute_sal,HAMILTON,0.6035848835154073,True,0.004966666666746278
1874,51.0,0.18149466192170818,0.11825330701592114,0.9435382270229904,42,138,14,1,hamilton_35,acute_sal,HAMILTON,0.9158381536405392,False,0.038766666666617766
1875,35.0,0.13513513513513514,2.3911312543938577,0.9756808880036297,42,143,16,1,hamilton_35,acute_sal,HAMILTON,0.6456250188780551,True,0.023966666666638048
1878,30.0,0.11627906976744186,5.696462088780869,0.9808615204591722,42,155,16,1,hamilton_35,acute_sal,HAMILTON,0.4751045277872909,True,0.0216333333332841
1879,20.0,0.08130081300813008,0.4889266661307923,0.9416082937816582,42,157,17,1,hamilton_35,acute_sal,HAMILTON,0.87224575023748,False,0.021333333333359406
