neuron_id,lag,time,cc,session_name,bin_width,p,sig
1735,0,0.0,0.0053410385436722,hamilton_38,1.0,1.457373271889401,False
1736,0,0.0,0.0015929134971768,hamilton_38,1.0,1.518,False
1741,0,0.0,0.0510285907791353,hamilton_38,1.0,0.0,True
1749,0,0.0,0.3075610960980195,hamilton_38,1.0,0.0,True
1752,0,0.0,0.1805863462365462,hamilton_38,1.0,0.0,True
1755,0,0.0,0.086349589595356,hamilton_38,1.0,0.0,True
1767,0,0.0,-0.0637462100959466,hamilton_37,1.0,0.0,True
1772,0,0.0,0.0475879713725427,hamilton_37,1.0,0.0,True
1774,0,0.0,0.1344179424723668,hamilton_37,1.0,0.0,True
1775,0,0.0,0.1067960338232118,hamilton_37,1.0,0.0,True
1792,0,0.0,-0.0288336286241874,hamilton_37,1.0,0.022792792792792792,True
1810,0,0.0,0.1024572942540087,hamilton_37,1.0,0.0,True
1811,0,0.0,0.0479391961693636,hamilton_37,1.0,0.0,True
1812,0,0.0,0.2836979954973722,hamilton_37,1.0,0.0,True
1813,0,0.0,-0.0934923710910337,hamilton_37,1.0,0.0,True
1814,0,0.0,0.1405718662351982,hamilton_37,1.0,0.0,True
1819,0,0.0,0.2159444930633092,hamilton_37,1.0,0.0,True
1822,0,0.0,0.2227429861826222,hamilton_37,1.0,0.0,True
1823,0,0.0,0.1896433200532495,hamilton_37,1.0,0.0,True
1825,0,0.0,0.2119465163105483,hamilton_37,1.0,0.0,True
1826,0,0.0,0.2935462254337825,hamilton_37,1.0,0.0,True
1827,0,0.0,0.1878387310461924,hamilton_37,1.0,0.0,True
1830,0,0.0,0.145542815048638,hamilton_37,1.0,0.0,True
1831,0,0.0,0.1829961980617228,hamilton_37,1.0,0.0,True
1833,0,0.0,0.2159768444790872,hamilton_37,1.0,0.0,True
1836,0,0.0,0.1266371697937524,hamilton_37,1.0,0.0,True
1837,0,0.0,0.1838707107053365,hamilton_37,1.0,0.0,True
1839,0,0.0,0.3078975535644403,hamilton_35,1.0,1.0,False
